time,event,group
143,1,groupA
164,1,groupA
188,1,groupA
190,1,groupA
192,1,groupA
206,1,groupA
209,1,groupA
213,1,groupA
216,1,groupA
220,1,groupA
227,1,groupA
230,1,groupA
234,1,groupA
246,1,groupA
265,1,groupA
304,1,groupA
216,0,groupA
244,0,groupA
142,1,groupB
156,1,groupB
163,1,groupB
198,1,groupB
205,1,groupB
232,1,groupB
232,1,groupB
233,1,groupB
233,1,groupB
233,1,groupB
233,1,groupB
239,1,groupB
240,1,groupB
261,1,groupB
280,1,groupB
280,1,groupB
296,1,groupB
323,1,groupB
204,0,groupB
344,0,groupB
